tweet_id,name,text,created_at,favourite_count,hashtags
1452807532817301508,CNN,Tesla just became the sixth company in US history to be worth $1 trillion https://t.co/ASLqXapEyC,2021-10-26 01:21:22+00:00,653,[]
1452803385527357450,CNN,A German woman who joined ISIS has been sentenced to 10 years in prison over the death of a 5-year-old Yazidi girl https://t.co/M5py2oLoYZ,2021-10-26 01:04:53+00:00,315,[]
1452799540608778243,CNN,"Weeks after his special ""The Closer"" was criticized for its jokes aimed at transgender people, Dave Chappelle has addressed the controversy. https://t.co/gahuRY77ZG",2021-10-26 00:49:36+00:00,517,[]
1452795437748871169,CNN,"RT @AC360: .@GaryTuchmanCNN visits a prop house to see the mechanics of blanks, dummy ammo and proper procedures to prevent deadly incident…",2021-10-26 00:33:18+00:00,0,[]
1452794874386866180,CNN,"Facebook reported $29 billion in revenue for the three months ended in September, up 35% from the same period a year earlier. The company posted nearly $9.2 billion in profit, up 17% from the year prior. https://t.co/OGSb18bocN",2021-10-26 00:31:04+00:00,186,[]
1452793578401452041,CNN,"Jonathan Greenblatt, CEO of the Anti-Defamation League, blasted Facebook following the publication of articles revealing the company's struggles to stop hate speech, human trafficking and coordinated groups that sowed discord ahead of the US Capitol riot https://t.co/ntsACfSk7f",2021-10-26 00:25:55+00:00,187,[]
1452793371869675520,CNN,"RT @OutFrontCNN: ""I am hopeful that both Senator Manchin and Senator Sinema will move on a variety of things,"" says Sen. Chris Coons of the…",2021-10-26 00:25:06+00:00,0,[]
1452791171303055364,CNN,"Facebook reported $29 billion in revenue for the three months ended in September, up 35% from the same period a year earlier.

A previous version of this story misstated the percentage of Facebook’s quarterly sales growth and a tweet has been deleted. https://t.co/KLKtwmqsQa",2021-10-26 00:16:21+00:00,130,[]
1452788867271118851,CNN,"Donald Trump is throwing his support behind a trio of candidates whose troubled pasts have come under scrutiny, as he continues to influence the standards of the GOP from his post-presidency perch. https://t.co/DRRFDAjRAc",2021-10-26 00:07:12+00:00,178,[]
1452784428867104770,CNN,"A new monument in Franklin, Tennessee, honors the approximately 180,000 Black people who joined the Union Army.

It stands in front of a courthouse where numerous Black people enlisted in the Union Army and across the street from a Confederate monument. https://t.co/rdgHa9ac6b",2021-10-25 23:49:33+00:00,1056,[]
1452780135808122880,CNN,"A victim's remains were found more than 40 years ago in the crawl space of infamous serial killer John Wayne Gacy's home.

For decades, the person's identity was a mystery. But genetic genealogy helped solve the case. https://t.co/ezmWXJbXrU",2021-10-25 23:32:30+00:00,368,[]
1452776116167614465,CNN,"JUST IN: Two people were killed when a gunman opened fire at an Idaho mall, according to Boise Police Chief Ryan Lee. Four other people, including a Boise police officer, were injured, Lee said at a media briefing. https://t.co/NVksU6ttSw",2021-10-25 23:16:32+00:00,195,[]
1452775794305011722,CNN,"As fire crews work to contain the KNP Complex Fire that has destroyed many of California's iconic sequoia trees, it has been determined that 10,000 trees are a hazard and need to be removed. https://t.co/gt4G1jh7Yd",2021-10-25 23:15:15+00:00,123,[]
1452772230639857665,CNN,President Biden has once again refused to assert executive privilege over more documents that former President Donald Trump has sought to keep out of the hands of the committee investigating the January 6 attack on the US Capitol. https://t.co/7yF1OJzbJD,2021-10-25 23:01:05+00:00,1255,[]
1452768951142912000,CNN,"The Biden administration is expected to name Kim Wyman, a Republican secretary of state who challenged Trump's false claims of election fraud, to lead DHS' efforts to protect future elections from foreign and domestic interference, sources say https://t.co/9JmWM1CbvY",2021-10-25 22:48:03+00:00,360,[]
1452768200811241476,CNN,"Why do you think voting laws are changing all over the country? Join Dana Bash as she visits Arizona, Georgia and Texas to find out. CNN Special Report – Stop the Vote airs Wednesday at 9 p.m. ET https://t.co/bCttqutY9S",2021-10-25 22:45:04+00:00,89,[]
1452763740055736321,CNN,The families of roughly two dozen US citizens and legal permanent residents detained abroad have penned a letter to President Biden urging him to do more to secure the release of their loved ones. https://t.co/PdUhqaFWuL,2021-10-25 22:27:21+00:00,164,[]
1452756706593751040,CNN,"The Indri indri, a species of lemur in Madagascar, is one of a few animal species with rhythm, according to a new study https://t.co/bt0nuliQFb",2021-10-25 21:59:24+00:00,253,[]
1452752794889428992,CNN,"JUST IN: Six people, including a police officer, were injured when shots were reportedly fired at an Idaho mall, according to the Boise Police Department https://t.co/lnH89EcPga",2021-10-25 21:43:51+00:00,262,[]
1452750260904906754,CNN,"A cyclist lived to tell his tale after a run-in with a bear while riding alone in Cantwell, Alaska https://t.co/ud5dN9qTy5",2021-10-25 21:33:47+00:00,122,[]
1452745556699357190,CNN,"Your top headlines this evening from the CNN 5 Things podcast:
✔️ Sudan’s armed forces take over the country
✔️ Biden Administration details plan for foreign nationals traveling to U.S.
✔️ Infrastructure package vote could come this week

Listen. https://t.co/a5YfqJhELk",2021-10-25 21:15:06+00:00,80,[]
1452742245334007816,CNN,"The assistant director on the movie “Rust,” who handed a prop gun to Alec Baldwin before the fatal shooting last week, was previously fired from a film production after a gun incident injured a crew member, a film production company tells CNN https://t.co/OkDzxajivJ",2021-10-25 21:01:56+00:00,379,[]
1452738150816702465,CNN,"The Dow and S&amp;P 500 both closed at record highs Monday — while Tesla shares soared to a new all-time peak above $1,000 and sent the company's market share past the $1 trillion level. https://t.co/8RAGKQ5l5i",2021-10-25 20:45:40+00:00,198,[]
1452731459194785799,CNN,"Harrison Ford lost his credit card in Italy. But all was not lost. 

A tourist found it and took it to police, who were able to track down the actor and return the card. https://t.co/d1Y9gPescr",2021-10-25 20:19:04+00:00,1578,[]
1452728645689163777,CNN,"Shiba inu coin — which appears to be inspired by dogecoin, itself a meme currency — is up more than 40% over the last seven days, according to CoinGecko. The website ranks the coin as the 11th biggest cryptocurrency. https://t.co/fSddBAnAki",2021-10-25 20:07:54+00:00,2860,[]
1452723885791657987,CNN,"As a historic ""bomb cyclone"" winds down on the West Coast, computer forecast models are hinting at a possible autumn nor'easter on the East Coast starting Tuesday. https://t.co/e8g07B3Vdw",2021-10-25 19:48:59+00:00,203,[]
1452719536898199554,CNN,"Saudi crown prince Mohammed bin Salman is a ""psychopath,"" who ""poses a threat to his people, to the Americans and to the planet,"" a former top Saudi intelligence official who is now living in exile in Canada has said. https://t.co/cj5D4o7z9h",2021-10-25 19:31:42+00:00,695,[]
1452717064397938699,CNN,"The Biden administration has outlined new details of its plans to allow Covid-19-vaccinated foreign nationals to travel to the US again starting November 8, including details on which vaccines will be permitted and who will be exempted from requirements. https://t.co/PqMJaprTaF",2021-10-25 19:21:52+00:00,184,[]
1452713720514289667,CNN,"The FBI is revealing new details about a $31.8 million counterfeit coupon scheme that landed a Virginia Beach couple in prison for nearly 20 years, combined. Investigators found fake coupons in ""every crevice"" of their house, the agency says. https://t.co/iiF4RhjCg5",2021-10-25 19:08:35+00:00,304,[]
1452710060174479363,CNN,"Joby Aviation's electric, six-rotor aircraft can take off like a helicopter yet fly like a plane. Here's how the company envisions the future of flying transportation. https://t.co/FJzDq1pssI https://t.co/eVNPJPLMSL",2021-10-25 18:54:03+00:00,296,[]
1452707267435012103,CNN,"Blue Origin, the rocket and space tourism company founded by Jeff Bezos, is proposing a massive new commercial space station called ""Orbital Reef"" that could be used to host science experiments, vacation getaways and potentially even in-space manufacturing https://t.co/5anEngrHtv",2021-10-25 18:42:57+00:00,248,[]
1452704296630423554,CNN,"Human remains found in a Massachusetts state park are those of a 5-year-old New Hampshire boy who'd been missing more than a month, according to a news release by the Attorney General's office in New Hampshire. https://t.co/H13wTb9k62",2021-10-25 18:31:08+00:00,170,[]
1452700356484517889,CNN,RT @CNNPolitics: President Biden is pitching his spending plans in New Jersey ahead of a key week for negotiations on Capitol Hill https://…,2021-10-25 18:15:29+00:00,0,[]
1452699749518385169,CNN,"Vaping marijuana by teens doubled in seven years, with potentially harmful consequences, study says https://t.co/59E9U8iAVS",2021-10-25 18:13:04+00:00,437,[]
1452696529597345798,CNN,Goldman Sachs estimates there is a staggering $24 billion in goods floating outside California's biggest ports https://t.co/5B6UFp461S,2021-10-25 18:00:17+00:00,432,[]
1452692198647029771,CNN,House Oversight report shows inadequate discipline for border agents connected to offensive Facebook groups https://t.co/6hJbER2VZB,2021-10-25 17:43:04+00:00,452,[]
1452689180845346819,CNN,Joe Biden's approval ratings are worse than every recent president — except one — at this stage | Analysis by Chris Cillizza https://t.co/ovTU2j7DKv,2021-10-25 17:31:05+00:00,1343,[]
1452685415262179331,CNN,President Joe Biden is pitching spending plans in New Jersey ahead of a key week for Hill negotiations https://t.co/7J8X4YU1gn,2021-10-25 17:16:07+00:00,224,[]
1452681386406580227,CNN,"1,000 Warhol artworks are on sale for just $250 each. But only one is real. https://t.co/IXetC8ApSd",2021-10-25 17:00:06+00:00,127,[]
1452678110219051010,CNN,"The release of ""The Facebook Papers"" is a huge black eye for the social media company, one that could lead to even more calls from regulators and politicians in Washington to break up Facebook. https://t.co/G3uBNECbxU",2021-10-25 16:47:05+00:00,560,[]
1452674340177289222,CNN,"Lower premiums, more choices on Obamacare exchanges for 2022 as Democrats battle to extend generous subsidies https://t.co/MTRXufluPg",2021-10-25 16:32:06+00:00,121,[]
1452670561033801730,CNN,Moderna says its Covid-19 vaccine was well-tolerated and generated robust immune response in children ages 6 to 11 https://t.co/7XvnnKR7uX,2021-10-25 16:17:05+00:00,470,[]
1452666331292184584,CNN,"Jennifer Aniston has led the tributes to her ""Friends"" co-star James Michael Tyler following his death, saying the show ""would not have been the same"" without him. https://t.co/E0RE4cipHg",2021-10-25 16:00:17+00:00,1537,[]
1452661486942400513,CNN,Why Russian and Chinese warships teaming up to circle Japan is a big deal | Analysis by @BradLendon https://t.co/8lCs0TV3CG https://t.co/ALnJm3FN1x,2021-10-25 15:41:02+00:00,338,[]
1452656464397586442,CNN,Tom Brady became the first player in NFL history to have thrown 600 touchdown passes in his career during the Tampa Bay Buccaneers rout of the Chicago Bears on Sunday https://t.co/mKiSkRCTIN,2021-10-25 15:21:04+00:00,268,[]
