tweet_id,name,text,created_at,favourite_count,hashtags
1454000335303987200,CNN,"Why Chinese influencers are flocking to a Costco in Shanghai (and no, it's not for the discounts) | Analysis by @Nectar_Gan &amp; @steve0george https://t.co/cjj0hrcJ02 https://t.co/uQ8X18ZQcj",2021-10-29 08:21:08+00:00,96,[]
1453995037893726210,CNN,China is the world’s biggest emitter right now but America has put more carbon into the atmosphere over time. Here’s how the two stack up on climate. https://t.co/jr809dkmJP,2021-10-29 08:00:05+00:00,163,[]
1453990755253596160,CNN,"The home of ""The Real Housewives of Beverly Hills"" star Dorit Kemsley was robbed Wednesday night. https://t.co/VGaUetKZAJ",2021-10-29 07:43:04+00:00,112,[]
1453986076088012805,CNN,"Hours after the US Supreme Court vacated a ruling that granted a stay of execution for death row inmate John Grant, a witness to the execution on Thursday said Grant convulsed and vomited after the first drug, Midazolam, was administered. https://t.co/kNPCidNcGb",2021-10-29 07:24:28+00:00,145,[]
1453982378649587718,CNN,Indian police have arrested three Kashmiri Muslims for allegedly celebrating Pakistan's win over India in the T20 World Cup on Sunday. https://t.co/fZGJQWcwvg,2021-10-29 07:09:47+00:00,1541,[]
1453965103938736132,CNN,"A Philippines-based startup is offering an affordable alternative to polystyrene coolers that it says is better for the environment, and for food producers working within tight profit margins. https://t.co/JpOYzAMOvz",2021-10-29 06:01:08+00:00,221,[]
1453964576949637128,CNN,"Home to several photography ""hides,"" South Africa's Zimanga reserve, run by Charl Senekal, is now considered one of the continent's foremost destinations for wildlife photographers. https://t.co/tplu2Mcg2J",2021-10-29 05:59:03+00:00,175,[]
1453962621636415490,CNN,"""Now, just as we're waking up to ways Facebook has knowingly eroded our social, mental and civic well-being, Zuckerberg is back with a new offering: a way out. ... Going meta is Facebook's escape hatch,"" @rushkoff writes for @CNNOpinion https://t.co/kIiWPYJSTh",2021-10-29 05:51:16+00:00,291,[]
1453959803571621890,CNN,"China's emissions today are more than double those of the US, but no country has historically put more greenhouse gases in the atmosphere than the US. https://t.co/zeh1FFDQtZ",2021-10-29 05:40:05+00:00,205,[]
1453959051268669446,CNN,"""The Great Red Spot is as deep within Jupiter as the International Space Station is high above our heads,"" according to a scientist at the NASA Jet Propulsion Laboratory https://t.co/kDT6mTbT8v",2021-10-29 05:37:05+00:00,242,[]
