tweet_id,name,text,created_at,favourite_count,hashtags
1455079140407775238,BBC News (World),RT @BBCSteveR: This morning’s Russian papers on climate change &amp; #COP26. #ReadingRussia @BBCNews @BBCWorld @COP26 https://t.co/KicinA5vnl h…,2021-11-01 07:47:55+00:00,0,"[{'text': 'COP26', 'indices': [69, 75]}, {'text': 'ReadingRussia', 'indices': [77, 91]}]"
1455071210711265286,BBC News (World),"Shahar Perets opposes her conscription to Israeli compulsory military service - and has been jailed three times as a result 

https://t.co/ZFObz4ATCt https://t.co/1ev6tdK9Tl",2021-11-01 07:16:25+00:00,282,[]
1455056023736262656,BBC News (World),The pumpkins taking a dive this Halloween https://t.co/Ns5MVfcBVd,2021-11-01 06:16:04+00:00,170,[]
1455054260404736001,BBC News (World),'Vax' declared Oxford English Dictionary's word of the year https://t.co/IbVam724Pm,2021-11-01 06:09:03+00:00,296,[]
1455051493967634434,BBC News (World),Thailand reopens to vaccinated tourists from over 60 nations https://t.co/MX0B3vuUbE,2021-11-01 05:58:04+00:00,382,[]
1455039487529082882,BBC News (World),Far more than fish: Risks of rising EU-UK tensions https://t.co/PXtTBxfPZO,2021-11-01 05:10:21+00:00,182,[]
1455027848255873043,BBC News (World),"Bekah, Abi and Morgan became friends after discovering they were all dating the same man https://t.co/nNbwmf0QmD",2021-11-01 04:24:06+00:00,168,[]
1455027609809694722,BBC News (World),New Zealand bat flies away with bird of the year award https://t.co/mzlE0Sz3uJ,2021-11-01 04:23:09+00:00,504,[]
1455022293034356737,BBC News (World),"Preserving Mount Augustus, Australia's lesser-known sacred rock 

https://t.co/4ieQSxY6Wm https://t.co/a555meZPQf",2021-11-01 04:02:02+00:00,196,[]
1455020547813826562,BBC News (World),COP26: The issues that stand in the way of progress https://t.co/erAoBzn52W,2021-11-01 03:55:06+00:00,118,[]
